text,label
"Urgent hiring for data entry work from home. No experience needed. Earn Rs 50000/month. Just pay Rs 500 registration fee to start. WhatsApp us now. Limited seats available.",scam
"Internship opportunity at Infosys for B.Tech students. 6 month duration. Stipend Rs 15000/month. Apply through official careers portal. Interview rounds include aptitude and technical.",safe
"GUARANTEED placement after 3 month internship! Pay Rs 2000 registration fee. No interview required. 100% job guarantee. WhatsApp only for details. Immediate joining.",scam
"Amazon is hiring interns for Summer 2026. Roles in SDE and data science. Apply at amazon.jobs. Stipend competitive. Resume screening followed by online assessment and interviews.",safe
"Work from home and earn Rs 1 lakh per month! No skills required. Just share this post with 10 friends and register with Rs 999. Hurry limited time offer!",scam
"TCS is offering internships for final year students. Duration 2 months. Stipend Rs 12000. Apply via TCS NextStep portal. Selection based on aptitude test and HR interview.",safe
"Hiring freshers for online typing job. Earn Rs 30000 weekly. No experience required. Pay Rs 1500 security deposit. WhatsApp this number for registration link. Start today.",scam
"Google Summer of Code 2026 applications now open. Open source contribution based selection. Stipend provided by Google. No registration fee. Apply at summerofcode.withgoogle.com.",safe
"URGENT: Need 50 candidates for data entry. Work from mobile. Daily payment Rs 5000. Pay registration fee Rs 800. No interview. WhatsApp only. Immediate start.",scam
"Wipro hiring interns for cloud computing division. 3 month program. Monthly stipend Rs 10000. Apply through Wipro careers page. Technical assessment required.",safe
"Earn Rs 2 lakh per month working part time from home! Investment of Rs 5000 only. Guaranteed returns. No experience needed. Join our WhatsApp group now.",scam
"Microsoft Research India internship for PhD students. 12 week program. Competitive stipend. Research project mentorship. Apply online at microsoft.com/research. Deadline March 15.",safe
"FREE laptop and Rs 50000 salary! Just complete a simple online course for Rs 3000. Certificate provided. 100% placement guaranteed. Limited seats. Register on WhatsApp immediately.",scam
"Deloitte virtual internship program. 8 weeks. Consulting and audit tracks. Stipend Rs 20000/month. Apply through campus placement cell. Multiple interview rounds.",safe
"Make money online! No degree needed. Earn from day 1. Pay Rs 1200 joining fee. Work just 2 hours daily. Guaranteed income Rs 40000/month. WhatsApp for details.",scam
"ISRO recruitment for project interns. B.Tech/M.Tech in relevant fields. Duration 6 months. Stipend as per government norms. Apply at isro.gov.in. Written test and interview.",safe
"Hiring 100 candidates urgently for social media marketing. No experience required. Earn Rs 25000 weekly. Pay Rs 2000 training fee. WhatsApp only. Start immediately.",scam
"Goldman Sachs engineering internship Summer 2026. 10 week program. Competitive compensation. Coding assessment and multiple interview rounds. Apply through goldmansachs.com/careers.",safe
"Online form filling job. Earn Rs 500 per form. Complete 100 forms daily. Pay Rs 3000 registration fee for software access. No interview. Guaranteed payment. WhatsApp now.",scam
"Flipkart product management internship. 2 month duration. Stipend Rs 25000/month. Case study based selection. Apply through internshala or flipkart careers.",safe
"ALERT: Last 5 seats for high paying internship! Rs 60000/month stipend. Pay Rs 1500 registration. No skills needed. 100% selection. Immediate offer letter. Call now.",scam
"Zoho Corporation hiring interns for software development. 6 month program. Stipend provided. Selection through coding test and technical interview. Apply at zoho.com/careers.",safe
"Data entry job from home. No computer needed. Work from mobile phone. Earn Rs 20000 daily. Small investment of Rs 4000 required. Guaranteed returns. WhatsApp group link.",scam
"IIT Bombay research internship for undergraduate students. Summer program. Stipend and accommodation provided. Apply through official IITB portal. Statement of purpose required.",safe
"Copy paste job! Easiest way to earn money. Rs 15000 per week. Pay Rs 700 registration fee. No experience needed. No interview. Start earning today. WhatsApp only.",scam
"Adobe internship program for design and engineering students. 12 weeks. Competitive stipend. Portfolio review and technical assessment. Apply at adobe.com/careers.",safe
"Urgent requirement for telecalling job. Work from home. Salary Rs 35000/month. Pay Rs 2500 for training material. Limited seats. No interview needed. WhatsApp for details.",scam
"Accenture hiring technology consulting interns. 3 month program. Stipend Rs 18000/month. Apply through campus drive or accenture.com. Group discussion and personal interview.",safe
"Earn while you learn! Online survey job. Rs 10000 per day. No qualification needed. Pay Rs 600 activation fee. Guaranteed income. Join WhatsApp group immediately.",scam
"Samsung R&D internship for electronics and CS students. Duration 6 months. Monthly stipend Rs 20000. Apply through Samsung careers portal. Coding test required.",safe
"Home based packaging job. Earn Rs 25000/month. Material provided after Rs 5000 security deposit. No experience needed. Guaranteed buy back. WhatsApp for details. Limited offer.",scam
"McKinsey summer internship for MBA students. 10 week program. Competitive compensation. Case interview based selection. Apply through mckinsey.com. Resume and cover letter required.",safe
"FASTEST way to earn money! Online ad posting job. Rs 500 per ad. Pay Rs 1000 registration. No skills needed. Work from mobile. Daily payment via WhatsApp.",scam
"Reliance Jio internship for engineering students. 2 month program. Stipend Rs 15000/month. Apply through official Jio careers page. Technical aptitude test and interview.",safe
"Become a millionaire in 30 days! Online business opportunity. Investment Rs 10000 only. Guaranteed 10x returns. No experience needed. WhatsApp for secret strategy. Limited time.",scam
"JP Morgan Chase technology internship. 10 week summer program. Competitive stipend. Coding challenge and superday interviews. Apply at jpmorgan.com/careers.",safe
"Hiring for WhatsApp forwarding job. Earn Rs 8000 daily. Just forward messages. Pay Rs 500 registration. No interview. Immediate joining. Guaranteed payment every week.",scam
"Uber engineering internship for computer science students. 3 month program. Competitive compensation. Online assessment and team matching interviews. Apply through uber.com/careers.",safe
"Online tutoring job. Earn Rs 50000/month. No teaching experience required. Pay Rs 3000 for certification. Guaranteed students provided. WhatsApp only. Limited seats available.",scam
"Nvidia deep learning internship for ML students. 6 month program. Stipend and benefits provided. Research paper review and coding interview. Apply at nvidia.com/careers.",safe
